index,filename,scene_label,city,location,segment,device,encoded,decoded,sum,count,mean,ranks
44,audio/airport-prague-1069-40583-a.wav,airport,prague,1069,40583,a,0,airport,325.0,357.0,0.9103641456582633,0.24251830627188795
46,audio/airport-prague-1034-40629-a.wav,airport,prague,1034,40629,a,0,airport,304.0,357.0,0.8515406162464986,0.5309614772365489
47,audio/airport-lisbon-1000-40643-a.wav,airport,lisbon,1000,40643,a,0,airport,293.0,357.0,0.8207282913165266,0.6678605539637058
48,audio/airport-lisbon-1000-40647-a.wav,airport,lisbon,1000,40647,a,0,airport,293.0,357.0,0.8207282913165266,0.6679401464501751
50,audio/airport-prague-1023-40709-a.wav,airport,prague,1023,40709,a,0,airport,236.0,357.0,0.6610644257703081,0.981932505571474
51,audio/airport-lyon-1041-40722-a.wav,airport,lyon,1041,40722,a,0,airport,328.0,357.0,0.9187675070028011,0.20670168736071315
54,audio/airport-lyon-1101-40748-a.wav,airport,lyon,1101,40748,a,0,airport,240.0,357.0,0.6722689075630253,0.9765998089780324
55,audio/airport-prague-1023-40758-a.wav,airport,prague,1023,40758,a,0,airport,257.0,357.0,0.7198879551820728,0.93282394141993
59,audio/airport-prague-1034-40792-a.wav,airport,prague,1034,40792,a,0,airport,291.0,357.0,0.8151260504201681,0.6916587074180197
63,audio/airport-lisbon-1000-40849-a.wav,airport,lisbon,1000,40849,a,0,airport,299.0,357.0,0.8375350140056023,0.592725246736708
66,audio/airport-lyon-1041-40868-a.wav,airport,lyon,1041,40868,a,0,airport,233.0,357.0,0.6526610644257703,0.9859917223814072
67,audio/airport-prague-1023-40879-a.wav,airport,prague,1023,40879,a,0,airport,212.0,357.0,0.5938375350140056,0.9972938554600446
69,audio/airport-prague-1069-40882-a.wav,airport,prague,1069,40882,a,0,airport,300.0,357.0,0.8403361344537815,0.580945558739255
72,audio/airport-prague-1069-40919-a.wav,airport,prague,1069,40919,a,0,airport,334.0,357.0,0.9355742296918768,0.140639923591213
74,audio/airport-prague-1069-40978-a.wav,airport,prague,1069,40978,a,0,airport,285.0,357.0,0.7983193277310925,0.7511142948105699
78,audio/airport-lyon-1101-40999-a.wav,airport,lyon,1101,40999,a,0,airport,337.0,357.0,0.9439775910364145,0.11469277300222859
81,audio/airport-prague-1034-41137-a.wav,airport,prague,1034,41137,a,0,airport,301.0,357.0,0.8431372549019608,0.5685291308500477
83,audio/airport-lyon-1041-41166-a.wav,airport,lyon,1041,41166,a,0,airport,254.0,357.0,0.711484593837535,0.9447628143903215
84,audio/airport-lyon-1101-41172-a.wav,airport,lyon,1101,41172,a,0,airport,309.0,357.0,0.865546218487395,0.4694364851957975
85,audio/airport-lyon-1041-41176-a.wav,airport,lyon,1041,41176,a,0,airport,308.0,357.0,0.8627450980392157,0.4824100604902897
86,audio/airport-lisbon-1000-41194-a.wav,airport,lisbon,1000,41194,a,0,airport,305.0,357.0,0.8543417366946778,0.5165552371856097
87,audio/airport-lyon-1041-41216-a.wav,airport,lyon,1041,41216,a,0,airport,200.0,357.0,0.5602240896358543,0.9988061127029608
89,audio/airport-lyon-1101-41231-a.wav,airport,lyon,1101,41231,a,0,airport,330.0,357.0,0.9243697478991597,0.18529130850047756
90,audio/airport-prague-1023-41264-a.wav,airport,prague,1023,41264,a,0,airport,248.0,357.0,0.6946778711484594,0.9624323463865011
91,audio/airport-lyon-1101-41267-a.wav,airport,lyon,1101,41267,a,0,airport,295.0,357.0,0.8263305322128851,0.6426297357529449
93,audio/airport-prague-1069-41272-a.wav,airport,prague,1069,41272,a,0,airport,282.0,357.0,0.7899159663865546,0.7784941101560012
94,audio/airport-lyon-1041-41282-a.wav,airport,lyon,1041,41282,a,0,airport,263.0,357.0,0.7366946778711485,0.9073543457497613
95,audio/airport-lisbon-1000-41312-a.wav,airport,lisbon,1000,41312,a,0,airport,308.0,357.0,0.8627450980392157,0.482489652976759
97,audio/airport-lisbon-1000-41323-a.wav,airport,lisbon,1000,41323,a,0,airport,285.0,357.0,0.7983193277310925,0.7511938872970392
98,audio/airport-prague-1023-41343-a.wav,airport,prague,1023,41343,a,0,airport,297.0,357.0,0.8319327731092437,0.6177172874880611
99,audio/airport-lyon-1101-41351-a.wav,airport,lyon,1101,41351,a,0,airport,281.0,357.0,0.7871148459383753,0.7863737663164597
101,audio/airport-lyon-1041-41396-a.wav,airport,lyon,1041,41396,a,0,airport,316.0,357.0,0.8851540616246498,0.3720152817574021
103,audio/airport-lisbon-1000-41411-a.wav,airport,lisbon,1000,41411,a,0,airport,320.0,357.0,0.896358543417367,0.31287806431072906
104,audio/airport-prague-1023-41413-a.wav,airport,prague,1023,41413,a,0,airport,262.0,357.0,0.7338935574229691,0.9123686723973257
105,audio/airport-prague-1034-41415-a.wav,airport,prague,1034,41415,a,0,airport,270.0,357.0,0.7563025210084033,0.8683540273798154
106,audio/airport-prague-1023-41418-a.wav,airport,prague,1023,41418,a,0,airport,310.0,357.0,0.8683473389355743,0.45534861509073543
107,audio/airport-prague-1034-41420-a.wav,airport,prague,1034,41420,a,0,airport,253.0,357.0,0.7086834733893558,0.9479465138490927
108,audio/airport-prague-1023-41426-a.wav,airport,prague,1023,41426,a,0,airport,293.0,357.0,0.8207282913165266,0.6680197389366443
110,audio/airport-prague-1023-41451-a.wav,airport,prague,1023,41451,a,0,airport,245.0,357.0,0.6862745098039216,0.9684813753581661
112,audio/airport-lyon-1101-41501-a.wav,airport,lyon,1101,41501,a,0,airport,319.0,357.0,0.8935574229691877,0.32624960203756764
114,audio/airport-prague-1034-41515-a.wav,airport,prague,1034,41515,a,0,airport,276.0,357.0,0.773109243697479,0.829194524036931
115,audio/airport-lyon-1041-41535-a.wav,airport,lyon,1041,41535,a,0,airport,322.0,357.0,0.9019607843137255,0.28303088188475006
117,audio/airport-lyon-1101-41603-a.wav,airport,lyon,1101,41603,a,0,airport,293.0,357.0,0.8207282913165266,0.6680993314231136
119,audio/airport-lisbon-1000-41635-a.wav,airport,lisbon,1000,41635,a,0,airport,289.0,357.0,0.8095238095238095,0.7131486787647247
122,audio/airport-prague-1034-41674-a.wav,airport,prague,1034,41674,a,0,airport,269.0,357.0,0.7535014005602241,0.8761540910538045
123,audio/airport-lisbon-1000-41698-a.wav,airport,lisbon,1000,41698,a,0,airport,332.0,357.0,0.9299719887955182,0.16173193250557147
124,audio/airport-lyon-1101-41703-a.wav,airport,lyon,1101,41703,a,0,airport,321.0,357.0,0.8991596638655462,0.2975963069086278
125,audio/airport-lisbon-1000-41706-a.wav,airport,lisbon,1000,41706,a,0,airport,251.0,357.0,0.7030812324929971,0.954632282712512
126,audio/airport-lyon-1041-41710-a.wav,airport,lyon,1041,41710,a,0,airport,309.0,357.0,0.865546218487395,0.4695160776822668
127,audio/airport-prague-1069-41725-a.wav,airport,prague,1069,41725,a,0,airport,321.0,357.0,0.8991596638655462,0.2976758993950971
128,audio/airport-lisbon-1000-41735-a.wav,airport,lisbon,1000,41735,a,0,airport,329.0,357.0,0.9215686274509803,0.19476281439032156
131,audio/airport-lyon-1041-41824-a.wav,airport,lyon,1041,41824,a,0,airport,323.0,357.0,0.9047619047619048,0.2699777141037886
133,audio/airport-lyon-1041-41843-a.wav,airport,lyon,1041,41843,a,0,airport,252.0,357.0,0.7058823529411765,0.9513689907672715
134,audio/airport-lyon-1041-41852-a.wav,airport,lyon,1041,41852,a,0,airport,288.0,357.0,0.8067226890756303,0.7240528494110156
136,audio/airport-prague-1069-41871-a.wav,airport,prague,1069,41871,a,0,airport,315.0,357.0,0.8823529411764706,0.3853072269977714
138,audio/airport-prague-1069-41895-a.wav,airport,prague,1069,41895,a,0,airport,329.0,357.0,0.9215686274509803,0.19484240687679083
139,audio/airport-lyon-1101-41912-a.wav,airport,lyon,1101,41912,a,0,airport,313.0,357.0,0.876750700280112,0.413323782234957
140,audio/airport-lyon-1101-41913-a.wav,airport,lyon,1101,41913,a,0,airport,286.0,357.0,0.8011204481792717,0.7429162687042343
142,audio/airport-lyon-1041-41945-a.wav,airport,lyon,1041,41945,a,0,airport,310.0,357.0,0.8683473389355743,0.4554282075772047
145,audio/airport-lisbon-1000-41994-a.wav,airport,lisbon,1000,41994,a,0,airport,279.0,357.0,0.7815126050420168,0.8033269659344158
146,audio/airport-lyon-1041-42041-a.wav,airport,lyon,1041,42041,a,0,airport,327.0,357.0,0.9159663865546218,0.21903852276345112
149,audio/airport-prague-1069-42135-a.wav,airport,prague,1069,42135,a,0,airport,226.0,357.0,0.6330532212885154,0.9926774912448265
153,audio/airport-prague-1069-42168-a.wav,airport,prague,1069,42168,a,0,airport,219.0,357.0,0.6134453781512605,0.9956224132441898
154,audio/airport-prague-1023-42171-a.wav,airport,prague,1023,42171,a,0,airport,279.0,357.0,0.7815126050420168,0.803406558420885
155,audio/airport-lisbon-1000-42196-a.wav,airport,lisbon,1000,42196,a,0,airport,276.0,357.0,0.773109243697479,0.8292741165234002
157,audio/airport-lyon-1041-42246-a.wav,airport,lyon,1041,42246,a,0,airport,336.0,357.0,0.9411764705882353,0.1227316141356256
158,audio/airport-prague-1023-42248-a.wav,airport,prague,1023,42248,a,0,airport,256.0,357.0,0.7170868347338936,0.9368831582298631
159,audio/airport-lyon-1041-42257-a.wav,airport,lyon,1041,42257,a,0,airport,337.0,357.0,0.9439775910364145,0.11477236548869786
160,audio/airport-lisbon-1000-42274-a.wav,airport,lisbon,1000,42274,a,0,airport,295.0,357.0,0.8263305322128851,0.6427093282394142
163,audio/airport-prague-1023-42332-a.wav,airport,prague,1023,42332,a,0,airport,204.0,357.0,0.5714285714285714,0.998567335243553
164,audio/airport-prague-1023-42333-a.wav,airport,prague,1023,42333,a,0,airport,282.0,357.0,0.7899159663865546,0.7785737026424705
165,audio/airport-lyon-1101-42334-a.wav,airport,lyon,1101,42334,a,0,airport,271.0,357.0,0.7591036414565826,0.8639764406240051
166,audio/airport-lyon-1101-42343-a.wav,airport,lyon,1101,42343,a,0,airport,316.0,357.0,0.8851540616246498,0.3720948742438714
167,audio/airport-lisbon-1000-42406-a.wav,airport,lisbon,1000,42406,a,0,airport,234.0,357.0,0.6554621848739496,0.9851162050302451
168,audio/airport-lisbon-1000-42416-a.wav,airport,lisbon,1000,42416,a,0,airport,296.0,357.0,0.8291316526610645,0.6287806431072906
169,audio/airport-lyon-1101-42428-a.wav,airport,lyon,1101,42428,a,0,airport,234.0,357.0,0.6554621848739496,0.9851957975167144
171,audio/airport-prague-1069-42443-a.wav,airport,prague,1069,42443,a,0,airport,252.0,357.0,0.7058823529411765,0.9514485832537408
172,audio/airport-prague-1034-42456-a.wav,airport,prague,1034,42456,a,0,airport,219.0,357.0,0.6134453781512605,0.995702005730659
173,audio/airport-prague-1023-42487-a.wav,airport,prague,1023,42487,a,0,airport,193.0,357.0,0.5406162464985994,0.9996020375676536
174,audio/airport-prague-1034-42517-a.wav,airport,prague,1034,42517,a,0,airport,172.0,357.0,0.48179271708683474,1.0
180,audio/airport-lyon-1101-42602-a.wav,airport,lyon,1101,42602,a,0,airport,318.0,357.0,0.8907563025210085,0.34232728430436166
181,audio/airport-lisbon-1000-42611-a.wav,airport,lisbon,1000,42611,a,0,airport,273.0,357.0,0.7647058823529411,0.850445717924228
182,audio/airport-prague-1023-42614-a.wav,airport,prague,1023,42614,a,0,airport,211.0,357.0,0.5910364145658263,0.9977714103788602
185,audio/airport-prague-1034-42667-a.wav,airport,prague,1034,42667,a,0,airport,284.0,357.0,0.7955182072829131,0.7601082457815982
187,audio/airport-prague-1034-42685-a.wav,airport,prague,1034,42685,a,0,airport,185.0,357.0,0.5182072829131653,0.9999204075135307
188,audio/airport-lyon-1101-42703-a.wav,airport,lyon,1101,42703,a,0,airport,246.0,357.0,0.6890756302521008,0.9669691181152499
191,audio/airport-lisbon-1000-42727-a.wav,airport,lisbon,1000,42727,a,0,airport,291.0,357.0,0.8151260504201681,0.691738299904489
194,audio/airport-prague-1023-42755-a.wav,airport,prague,1023,42755,a,0,airport,302.0,357.0,0.84593837535014,0.5569086278255333
197,audio/airport-lyon-1101-42791-a.wav,airport,lyon,1101,42791,a,0,airport,300.0,357.0,0.8403361344537815,0.5810251512257243
199,audio/airport-lyon-1041-42809-a.wav,airport,lyon,1041,42809,a,0,airport,292.0,357.0,0.8179271708683473,0.6804361668258516
200,audio/airport-lyon-1041-42824-a.wav,airport,lyon,1041,42824,a,0,airport,312.0,357.0,0.8739495798319328,0.42757083731295764
201,audio/airport-lyon-1101-42838-a.wav,airport,lyon,1101,42838,a,0,airport,284.0,357.0,0.7955182072829131,0.7601878382680675
202,audio/airport-prague-1034-42842-a.wav,airport,prague,1034,42842,a,0,airport,275.0,357.0,0.7703081232492998,0.8360394778732888
203,audio/airport-lyon-1101-42854-a.wav,airport,lyon,1101,42854,a,0,airport,212.0,357.0,0.5938375350140056,0.9973734479465138
204,audio/airport-lisbon-1000-42860-a.wav,airport,lisbon,1000,42860,a,0,airport,286.0,357.0,0.8011204481792717,0.7429958611907036
206,audio/airport-prague-1069-42891-a.wav,airport,prague,1069,42891,a,0,airport,292.0,357.0,0.8179271708683473,0.6805157593123209
207,audio/airport-lisbon-1000-42898-a.wav,airport,lisbon,1000,42898,a,0,airport,291.0,357.0,0.8151260504201681,0.6918178923909583
208,audio/airport-lisbon-1000-42902-a.wav,airport,lisbon,1000,42902,a,0,airport,320.0,357.0,0.896358543417367,0.31295765679719834
209,audio/airport-lisbon-1000-42904-a.wav,airport,lisbon,1000,42904,a,0,airport,297.0,357.0,0.8319327731092437,0.6177968799745304
210,audio/airport-lyon-1041-42920-a.wav,airport,lyon,1041,42920,a,0,airport,306.0,357.0,0.8571428571428571,0.5047755491881566
211,audio/airport-lyon-1041-42942-a.wav,airport,lyon,1041,42942,a,0,airport,286.0,357.0,0.8011204481792717,0.7430754536771729
212,audio/airport-lyon-1101-42943-a.wav,airport,lyon,1101,42943,a,0,airport,233.0,357.0,0.6526610644257703,0.9860713148678765
216,audio/airport-prague-1069-42974-a.wav,airport,prague,1069,42974,a,0,airport,347.0,357.0,0.9719887955182073,0.04871060171919771
220,audio/airport-prague-1069-43028-a.wav,airport,prague,1069,43028,a,0,airport,315.0,357.0,0.8823529411764706,0.3853868194842407
221,audio/airport-prague-1023-43029-a.wav,airport,prague,1023,43029,a,0,airport,292.0,357.0,0.8179271708683473,0.6805953517987902
222,audio/airport-lyon-1041-43035-a.wav,airport,lyon,1041,43035,a,0,airport,349.0,357.0,0.9775910364145658,0.0371696911811525
223,audio/airport-lyon-1101-43038-a.wav,airport,lyon,1101,43038,a,0,airport,274.0,357.0,0.7675070028011205,0.8431232091690545
224,audio/airport-prague-1069-43039-a.wav,airport,prague,1069,43039,a,0,airport,300.0,357.0,0.8403361344537815,0.5811047437121936
225,audio/airport-lyon-1041-43045-a.wav,airport,lyon,1041,43045,a,0,airport,289.0,357.0,0.8095238095238095,0.7132282712511939
227,audio/airport-lyon-1041-43062-a.wav,airport,lyon,1041,43062,a,0,airport,314.0,357.0,0.8795518207282913,0.4010665393186883
229,audio/airport-lisbon-1000-43069-a.wav,airport,lisbon,1000,43069,a,0,airport,318.0,357.0,0.8907563025210085,0.3424068767908309
230,audio/airport-lyon-1101-43071-a.wav,airport,lyon,1101,43071,a,0,airport,283.0,357.0,0.7927170868347339,0.7691021967526266
232,audio/airport-lyon-1101-43112-a.wav,airport,lyon,1101,43112,a,0,airport,310.0,357.0,0.8683473389355743,0.455507800063674
234,audio/airport-prague-1034-43125-a.wav,airport,prague,1034,43125,a,0,airport,289.0,357.0,0.8095238095238095,0.7133078637376632
236,audio/airport-prague-1034-43157-a.wav,airport,prague,1034,43157,a,0,airport,245.0,357.0,0.6862745098039216,0.9685609678446354
240,audio/airport-prague-1034-43238-a.wav,airport,prague,1034,43238,a,0,airport,270.0,357.0,0.7563025210084033,0.8684336198662846
242,audio/airport-lyon-1041-43257-a.wav,airport,lyon,1041,43257,a,0,airport,313.0,357.0,0.876750700280112,0.4134033747214263
247,audio/airport-prague-1069-43322-a.wav,airport,prague,1069,43322,a,0,airport,348.0,357.0,0.9747899159663865,0.042263610315186245
248,audio/airport-prague-1069-43326-a.wav,airport,prague,1069,43326,a,0,airport,319.0,357.0,0.8935574229691877,0.3263291945240369
249,audio/airport-lisbon-1000-43327-a.wav,airport,lisbon,1000,43327,a,0,airport,324.0,357.0,0.907563025210084,0.2560490289716651
252,audio/airport-lyon-1101-43380-a.wav,airport,lyon,1101,43380,a,0,airport,241.0,357.0,0.6750700280112045,0.9748487742757084
253,audio/airport-prague-1069-43387-a.wav,airport,prague,1069,43387,a,0,airport,320.0,357.0,0.896358543417367,0.3130372492836676
255,audio/airport-lyon-1041-43417-a.wav,airport,lyon,1041,43417,a,0,airport,311.0,357.0,0.8711484593837535,0.4407035975803884
256,audio/airport-lisbon-1000-43430-a.wav,airport,lisbon,1000,43430,a,0,airport,310.0,357.0,0.8683473389355743,0.45558739255014324
257,audio/airport-prague-1069-43436-a.wav,airport,prague,1069,43436,a,0,airport,304.0,357.0,0.8515406162464986,0.5310410697230181
258,audio/airport-prague-1034-43454-a.wav,airport,prague,1034,43454,a,0,airport,284.0,357.0,0.7955182072829131,0.7602674307545367
259,audio/airport-lyon-1101-43476-a.wav,airport,lyon,1101,43476,a,0,airport,319.0,357.0,0.8935574229691877,0.3264087870105062
260,audio/airport-prague-1034-43482-a.wav,airport,prague,1034,43482,a,0,airport,284.0,357.0,0.7955182072829131,0.760347023241006
264,audio/airport-lyon-1041-43521-a.wav,airport,lyon,1041,43521,a,0,airport,341.0,357.0,0.9551820728291317,0.08412925819802611
265,audio/airport-lyon-1101-43522-a.wav,airport,lyon,1101,43522,a,0,airport,206.0,357.0,0.5770308123249299,0.9984081502706145
266,audio/airport-lyon-1101-43528-a.wav,airport,lyon,1101,43528,a,0,airport,336.0,357.0,0.9411764705882353,0.12281120662209487
267,audio/airport-lyon-1101-43537-a.wav,airport,lyon,1101,43537,a,0,airport,291.0,357.0,0.8151260504201681,0.6918974848774275
272,audio/airport-lyon-1101-43656-a.wav,airport,lyon,1101,43656,a,0,airport,292.0,357.0,0.8179271708683473,0.6806749442852594
273,audio/airport-lisbon-1000-43679-a.wav,airport,lisbon,1000,43679,a,0,airport,333.0,357.0,0.9327731092436975,0.15138490926456544
277,audio/airport-lyon-1101-43728-a.wav,airport,lyon,1101,43728,a,0,airport,279.0,357.0,0.7815126050420168,0.8034861509073543
279,audio/airport-lyon-1101-43736-a.wav,airport,lyon,1101,43736,a,0,airport,229.0,357.0,0.6414565826330533,0.9900509391913404
285,audio/airport-lyon-1041-43796-a.wav,airport,lyon,1041,43796,a,0,airport,268.0,357.0,0.7507002801120448,0.8827602674307545
287,audio/airport-prague-1034-43863-a.wav,airport,prague,1034,43863,a,0,airport,260.0,357.0,0.7282913165266106,0.9206462909901305
288,audio/airport-lisbon-1000-43865-a.wav,airport,lisbon,1000,43865,a,0,airport,296.0,357.0,0.8291316526610645,0.6288602355937599
290,audio/airport-lyon-1041-43878-a.wav,airport,lyon,1041,43878,a,0,airport,290.0,357.0,0.8123249299719888,0.7027220630372493
293,audio/airport-prague-1034-43893-a.wav,airport,prague,1034,43893,a,0,airport,298.0,357.0,0.834733893557423,0.605062082139446
296,audio/airport-lyon-1041-43949-a.wav,airport,lyon,1041,43949,a,0,airport,338.0,357.0,0.9467787114845938,0.10673352435530085
297,audio/airport-prague-1069-43955-a.wav,airport,prague,1069,43955,a,0,airport,316.0,357.0,0.8851540616246498,0.37217446673034066
298,audio/airport-prague-1023-43965-a.wav,airport,prague,1023,43965,a,0,airport,243.0,357.0,0.680672268907563,0.9723018147086915
300,audio/airport-lyon-1101-44017-a.wav,airport,lyon,1101,44017,a,0,airport,220.0,357.0,0.6162464985994398,0.9953040432983127
302,audio/airport-lyon-1041-44042-a.wav,airport,lyon,1041,44042,a,0,airport,254.0,357.0,0.711484593837535,0.9448424068767909
303,audio/airport-prague-1034-44047-a.wav,airport,prague,1034,44047,a,0,airport,310.0,357.0,0.8683473389355743,0.45566698503661257
305,audio/airport-prague-1069-44057-a.wav,airport,prague,1069,44057,a,0,airport,306.0,357.0,0.8571428571428571,0.5048551416746259
308,audio/airport-lyon-1101-44067-a.wav,airport,lyon,1101,44067,a,0,airport,308.0,357.0,0.8627450980392157,0.48256924546322827
309,audio/airport-lyon-1101-44070-a.wav,airport,lyon,1101,44070,a,0,airport,301.0,357.0,0.8431372549019608,0.568608723336517
310,audio/airport-lisbon-1000-44083-a.wav,airport,lisbon,1000,44083,a,0,airport,272.0,357.0,0.7619047619047619,0.857051894301178
328,audio/airport-barcelona-1-16-a.wav,airport,barcelona,1,16,a,0,airport,329.0,357.0,0.9215686274509803,0.1949219993632601
329,audio/airport-barcelona-1-17-a.wav,airport,barcelona,1,17,a,0,airport,319.0,357.0,0.8935574229691877,0.3264883794969755
330,audio/airport-barcelona-1-18-a.wav,airport,barcelona,1,18,a,0,airport,261.0,357.0,0.7310924369747899,0.9154727793696275
331,audio/airport-barcelona-1-19-a.wav,airport,barcelona,1,19,a,0,airport,339.0,357.0,0.9495798319327731,0.09877427570837313
332,audio/airport-barcelona-1-20-a.wav,airport,barcelona,1,20,a,0,airport,258.0,357.0,0.7226890756302521,0.9290035020694046
333,audio/airport-barcelona-1-21-a.wav,airport,barcelona,1,21,a,0,airport,236.0,357.0,0.6610644257703081,0.9820120980579433
334,audio/airport-barcelona-1-22-a.wav,airport,barcelona,1,22,a,0,airport,230.0,357.0,0.6442577030812325,0.9894937917860553
335,audio/airport-barcelona-1-23-a.wav,airport,barcelona,1,23,a,0,airport,192.0,357.0,0.5378151260504201,0.9996816300541229
336,audio/airport-barcelona-1-24-a.wav,airport,barcelona,1,24,a,0,airport,328.0,357.0,0.9187675070028011,0.20678127984718242
337,audio/airport-barcelona-1-25-a.wav,airport,barcelona,1,25,a,0,airport,316.0,357.0,0.8851540616246498,0.37225405921680993
338,audio/airport-barcelona-1-26-a.wav,airport,barcelona,1,26,a,0,airport,279.0,357.0,0.7815126050420168,0.8035657433938236
339,audio/airport-barcelona-1-27-a.wav,airport,barcelona,1,27,a,0,airport,282.0,357.0,0.7899159663865546,0.7786532951289399
340,audio/airport-barcelona-1-28-a.wav,airport,barcelona,1,28,a,0,airport,259.0,357.0,0.7254901960784313,0.9248646927730022
341,audio/airport-barcelona-1-29-a.wav,airport,barcelona,1,29,a,0,airport,311.0,357.0,0.8711484593837535,0.4407831900668577
342,audio/airport-barcelona-1-30-a.wav,airport,barcelona,1,30,a,0,airport,264.0,357.0,0.7394957983193278,0.902419611588666
343,audio/airport-barcelona-1-31-a.wav,airport,barcelona,1,31,a,0,airport,299.0,357.0,0.8375350140056023,0.5928048392231773
344,audio/airport-barcelona-1-32-a.wav,airport,barcelona,1,32,a,0,airport,336.0,357.0,0.9411764705882353,0.12289079910856415
345,audio/airport-barcelona-1-33-a.wav,airport,barcelona,1,33,a,0,airport,333.0,357.0,0.9327731092436975,0.1514645017510347
346,audio/airport-barcelona-1-34-a.wav,airport,barcelona,1,34,a,0,airport,331.0,357.0,0.927170868347339,0.17518306271887935
347,audio/airport-barcelona-1-35-a.wav,airport,barcelona,1,35,a,0,airport,321.0,357.0,0.8991596638655462,0.29775549188156636
348,audio/airport-barcelona-1-36-a.wav,airport,barcelona,1,36,a,0,airport,342.0,357.0,0.957983193277311,0.07800063673989176
349,audio/airport-barcelona-1-37-a.wav,airport,barcelona,1,37,a,0,airport,327.0,357.0,0.9159663865546218,0.21911811524992042
350,audio/airport-barcelona-1-38-a.wav,airport,barcelona,1,38,a,0,airport,233.0,357.0,0.6526610644257703,0.9861509073543457
351,audio/airport-barcelona-1-39-a.wav,airport,barcelona,1,39,a,0,airport,336.0,357.0,0.9411764705882353,0.12297039159503342
